都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,"注1：利用可能曜日が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の利用可能曜日に従う」等理由を記載
注2：開始時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の開始時間に従う」等理由を記載
注3：終了時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の終了時間に従う」等理由を記載"
032131,13,岩手県,二戸市,二戸市立浄法寺小学校,ニノヘシリツジョウボウジショウガッコウ,岩手県二戸市浄法寺町海上田3-7,,40.182207,141.158305,校舎（昇降口）,(0195)38-2026,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-jbjes-ninohe.edumap.jp/,,
032131,14,岩手県,二戸市,二戸市立福岡中学校,ニノヘシリツフクオカチュウガッコウ,岩手県二戸市福岡字下川又22-1,,40.272436,141.305472,校舎（昇降口）,(0195)23-3325,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-hukuokajhs-ninohe.edumap.jp/,,
032131,15,岩手県,二戸市,二戸市立金田一中学校,ニノヘシリツキンダイチチュウガッコウ,岩手県二戸市金田一字野月55,,40.313734,141.301936,校舎（昇降口）,(0195)27-3101,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-kintaichijhs-ninohe.edumap.jp/,,
032131,16,岩手県,二戸市,二戸市立浄法寺中学校,ニノヘシリツジョウボウジチュウガッコウ,岩手県二戸市浄法寺町小池50-1,,40.187206,141.160555,校舎（昇降口）,(0195)38-2126,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-jbjjhs-ninohe.edumap.jp/,,
032131,17,岩手県,二戸市,二戸市立図書館,ニノヘシリツトショカン,岩手県二戸市石切所字狼穴1-1,,40.271389,141.297766,２階カウンター,(0195)23-3447,,8000020032131,二戸市,火水木金土日,,,月末館内整理日による休館有、他図書館カレンダーによる。開館時間：火水木金9:00～19:00、土日祝10:00～18:00。,有,http://ninohe-library.sakura.ne.jp/,,
032131,18,岩手県,二戸市,二戸市総合スポーツセンター,ニノヘシソウゴウスポーツセンター,岩手県二戸市石切所字荷渡22-20,,40.269757,141.292930,事務室,(0195)23-7211,,8000020032131,二戸市,月火水木金土日,9:00,22:00,休場日12/29～１/３,有,http://www.ninohe-taikyo.or.jp/publics/index/28/,,
032131,19,岩手県,二戸市,二戸市立二戸体育館,ニノヘシリツニノヘタイイクカン,岩手県二戸市福岡字長嶺80-1,,40.284647,141.298377,旧中央公民館トイレ前,,,8000020032131,二戸市,月火水木金土日,9:00,22:00,休場日12/29～１/３,有,http://www.ninohe-taikyo.or.jp/publics/index/28/,,
032131,20,岩手県,二戸市,二戸市立浄法寺体育館,ニノヘシリツジョウボウジタイイクカン,岩手県二戸市浄法寺町岩渕11-1,,40.186319,141.162646,事務室,(0195)38-3042,,8000020032131,二戸市,月火水木金土日,9:00,22:00,休場日12/29～１/３,有,http://www.ninohe-taikyo.or.jp/publics/index/28/,,
032131,21,岩手県,二戸市,二戸市民文化会館,ニノヘシミンブンカカイカン,岩手県二戸市石切所字狼穴1-1,,40.271389,141.297766,１階トイレ前,(0195)23-7111,,8000020032131,二戸市,火水木金土日,9:00,22:00,毎週月曜日、国民の祝日の翌日、年末年始は休館,有,https://www.nbsk.or.jp/ninohe-bunka/guide/,,
032131,22,岩手県,二戸市,二戸市福祉事務所,ニノヘシフクシジムショ,岩手県二戸市福岡字八幡下11-1,,40.262667,141.295238,健康福祉企画課内,(0195)23-1313,,8000020032131,二戸市,月火水木金,8:30,17:15,休日、祝日、年末年始は終日利用不可。,有,https://www.city.ninohe.lg.jp/,,
032131,23,岩手県,二戸市,二戸市総合福祉センター,ニノヘシソウゴウフクシセンター,岩手県二戸市福岡字八幡下11-1,,40.262667,141.295238,健康福祉企画課内,(0195)23-1313,,8000020032131,二戸市,月火水木金,8:30,17:15,休日、祝日、年末年始は終日利用不可。,有,https://www.city.ninohe.lg.jp/,,
032131,24,岩手県,二戸市,二戸市ほほえみセンター,ニノヘシホホエミセンター,岩手県二戸市浄法寺町小池3,,40.186208,141.154772,玄関ホール内,(0195)38-3061,,8000020032131,二戸市,日月火水木金土,8:30,17:15,,無,,二戸市社会福祉協議会浄法寺支所、浄法寺通所介護事業所,
032131,25,岩手県,二戸市,二戸市立金田一保育所,ニノヘシリツキンダイチホイクショ,岩手県二戸市金田一字大釜138,,40.320545,141.306280,金田一保育所事務室内,(0195)23-3295,,8000020032131,二戸市,月火水木金土,7:15,18:15,18:15～19:15延長での保育あり。休日、祝日、年末年始は休所。,有,,,
032131,26,岩手県,二戸市,二戸市立堀野保育所,ニノヘシリツホリノホイクショ,岩手県二戸市堀野字下タ川原63,,40.289706,141.294358,事務室内,(0195)27-3103,,8000020032131,二戸市,月火水木金土,7:15,18:15,,有,,,
032131,27,岩手県,二戸市,二戸市立浄法寺保育園,ニノヘシリツジョウボウジホイクエン,岩手県二戸市浄法寺町焼場85,,40.181348,141.148269,事務室内,(0195)38-2344,,8000020032131,二戸市,月火水木金土,7:15,18:15,,有,,,
032131,28,岩手県,二戸市,二戸市生きいき交流センター,ニノヘシイキイキコウリュウセンター,岩手県二戸市堀野字下夕川原63,,40.293470,141.308326,エントランス,(0195)23-7605,,8000020032131,二戸市,日月火水木金土,9:00,22:00,,有（共通パッド）,https://www.city.ninohe.lg.jp/info/3277,,
032131,29,岩手県,二戸市,二戸市デイサービスセンター,ニノヘシデイサービスセンター,岩手県二戸市仁左平字横手2-3,,40.303181,141.308659,デイサービスセンター事務室付近,(0195)25-4959,,8000020032131,二戸市,月火水木金,8:30,17:00,休日、祝日、年末年始は終日利用不可。,無,http://ninohe-shakyo.jp/,,
032131,30,岩手県,二戸市,二戸市老人福祉センター,ニノヘシロウジンフクシセンター,岩手県二戸市浄法寺町海上前田6-10,,40.169619,141.136588,1階事務室内,(0195)38-3041,,8000020032131,二戸市,日火水木金土,9:00,16:00,12/28～1/4は利用不可,無,,,
032131,31,岩手県,二戸市,二戸市生きがい総合センター,ニノヘシイキガイソウゴウセンター,岩手県二戸市仁左平字横手2-3,,40.303181,141.308659,デイサービスセンター事務室付近,(0195)25-4959,,8000020032131,二戸市,月火水木金,8:30,17:00,休日、祝日、年末年始は終日利用不可。,無,http://ninohe-shakyo.jp/,,
032131,32,岩手県,二戸市,斎場にのへ,サイジョウニノヘ,岩手県二戸市下斗米字寺久保113-1,,40.285690,141.238360,事務所内,(0195)20-3003,,8000020032131,二戸市,"友引及び元日以外。
火葬予約がある日。",9:00,17:00,"火葬予約が入っていない、友引及び元日は休みとなる。
利用開始、終了時間については火葬予約によって変わるため必ず17：00の終了時間ではない。",無,https://www.city.ninohe.lg.jp/info/2710,,
032131,33,岩手県,二戸市,二戸市国民健康保険金田一診療所,ニノヘシコクミンケンコウホケンキンタイチシンリョウジョ,岩手県二戸市金田一字馬場150,,40.318600,141.307981,事務室,(0195)27-2205,,8000020032131,二戸市,月～水、金,受付8:30:00,受付16:30:00,祝日、年末年始休診。診療時間の変更や、会議等での休診有,無,,,
032131,34,岩手県,二戸市,二戸市国民健康保険浄法寺診療所,ニノヘシコクミンケンコウホケンジョウボウジシンリョウジョ,岩手県二戸市浄法寺町小池6-1,,40.186658,141.154809,診療所事務室内,(0195)38-2021,,8000020032131,二戸市,毎月第１・３月曜日、火・水・木曜日,８時45分受付開始,診療16時30分まで,金・土・日・祝日は休診,有,,,
032131,35,岩手県,二戸市,二戸市貸し工場,ニノヘシカシコウジョウ,岩手県二戸市浄法寺町明神沢56-2,,40.190422,141.125413,１階事務所階段下付近,(0195)39-1104,,8000020032131,二戸市,なし,,,,小児用パッド無し、小児モード有,http://yumemikoubou.co.jp/（株式会社夢実耕望）,,
032131,36,岩手県,二戸市,二戸市農村勤労福祉センター,ニノヘシノウソンキンロウフクシセンター,岩手県二戸市福岡字横丁24,,40.273322,141.299000,１階事務所入り口付近,(0195)23-3280,,8000020032131,二戸市,火水木金土日,9:00,22:00,祝日の翌日、年末年始は利用不可。,小児用パッド無し、小児モード有,,,
032131,37,岩手県,二戸市,二戸市勤労者総合福祉センター,ニノヘシキンロウシャソウゴウフクシセンター,岩手県二戸市石切所字荷渡22-16,,40.269585,141.293324,１階事務所内,(0195)25-5963,,8000020032131,二戸市,火水木金土日,9:00,22:00,祝日の翌日、年末年始は利用不可。,小児用パッド無し、小児モード有,,,
032131,38,岩手県,二戸市,二戸市浄法寺漆芸の殿堂滴生舎,ニノヘシジョウボウジシツゲイのデンドウテキセイシャ,岩手県二戸市浄法寺町御山中前田23-6,,40.197501,141.179762,店内カウンター,(0195)38-2511,,8000020032131,二戸市,水曜日～月曜日、1月4日～12月28日,8:30,17:00,毎週火曜日、年末年始は終日利用不可。,有,https://urushi-joboji.com/life/tekiseisha,,
032131,39,岩手県,二戸市,二戸市折爪馬仙峡県立自然公園山の家,ニノヘシオリツメバセンキョウケンリツシゼンコウエンヤマノイエ,岩手県二戸市福岡字織詰26-2,,40.268577,141.372015,ふるさと自然公園センター玄関前,(0195)23-7599,,8000020032131,二戸市,日月火水木金土,9:00,17:00,11月第四日曜～４月第四土曜日は施設閉鎖,無,https://oritsumedake.com/,,
032131,40,岩手県,二戸市,二戸広域観光物産センター,ニノヘコウイキカンコウブッサンセンター,岩手県二戸市石切所字森合68,,40.261045,141.285905,３階トリコラボ入口付近（施設管理）、（物産センター）,(0195)23-7210,,8000020032131,二戸市,日月火水木金土,9:00（施設管理）、8:30（物産センター）,22:00（施設管理）、19:00（物産センター）,物産センターは毎月末、年末年始短縮営業,無,https://nanyato-sisetu.com/（施設管理）、https://www.nanyato-bussan.jp/（物産センター）,,
032131,41,岩手県,二戸市,二戸市稲庭交流センター「天台の湯」,ニノヘシイナニワコウリュウセンターテンダイノユ,岩手県二戸市浄法寺町野黒沢133-1,,40.198145,141.089448,フロント,(0195)38-3222,,8000020032131,二戸市,月火水木金土日,10:00,20:00,毎月第4水曜日定休日,無,https://tendainoyu.co.jp/,,
032131,42,岩手県,二戸市,二戸市稲庭交流センター「天台の湯」,ニノヘシイナニワコウリュウセンターテンダイノユ,岩手県二戸市浄法寺町野黒沢133-1,,40.198145,141.089448,フロント,(0195)38-3222,,8000020032131,二戸市,月火水木金土日,10:00,20:00,毎月第4水曜日定休日,無,https://tendainoyu.co.jp/,,
032131,43,岩手県,二戸市,二戸市パークゴルフ場,ニノヘシパークゴルフジョウ,岩手県二戸市浄法寺町野黒沢123-1,,40.196446,141.090813,カウンター,,,8000020032131,二戸市,月火木金土日,8:30,18:00,オープン期間４月下旬から11月下旬、水曜日休場日,無,,,
032131,44,岩手県,二戸市,二戸市労働環境施設運動広場,ニノヘシロウドウカンキョウシセツウンドウヒロバ,岩手県二戸市福岡字大平59,,40.283390,141.304272,事務室,(0195)23-7590,,8000020032131,二戸市,月火水木金土日,5:00,22:00,休場日12/1～4/19,有,http://www.ninohe-taikyo.or.jp/publics/index/28/,,
032131,45,岩手県,二戸市,九戸城ガイドハウス,クノヘジョウガイドハウス,岩手県二戸市福岡字城ノ内3-3,,40.26861111,141.302222,受付,,,8000020032131,二戸市,月火水木金土日,10:00,15:00,休業11月下旬～4月上旬,大人用パッドをカットすれば使用可,,,
