都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,利用可能日時特記事項,小児対応設備の有無,URL,備考
032069,0000000014,岩手県,北上市,㈱ミスズ工業岩手工場,カブシキガイシャミスズコウギョウイワテコウジョウ,北工業団地1番15号,,39.331177,141.123001,１階エントランス,0197-66-6100,,施設就業時間等に準ずる,,,
032069,0000000015,岩手県,北上市,生物工学研究所,セイブツコウガクケンキュウショ,北上市成田22地割174番地４,,39.350937,141.106812,１階玄関ホール,0197-68-2911,,施設就業時間等に準ずる,,,
032069,0000000016,岩手県,北上市,村崎野勤労者体育館,ムラサキノキンロウシャタイイクカン,北上市北工業団１番７号,,39.334106,141.126282,１階体育館,0197-66-3304,,施設就業時間等に準ずる,,,
032069,0000000017,岩手県,北上市,株式会社マルサ,カブシキガイシャマルサ,北上市成田26地割83番地12,,39.34359,141.118118,１階正面玄関,0197-68-2288,,施設就業時間等に準ずる,,,
032069,0000000018,岩手県,北上市,㈱サステック東北,カブシキガイシャサステックトウホク,北上市北工業団地1番16号,,39.331638,141.123032,１階事務所,0197-66-5611,,施設就業時間等に準ずる,,,
032069,0000000019,岩手県,北上市,㈱鈴木商館東北支店岩手事業所,スズキショウカントウホクシテンイワテジギョウショ,北上市北工業団地５番11号,,39.335781,141.130112,１階正面玄関,0197-66-5211,,施設就業時間等に準ずる,,,
032069,0000000020,岩手県,北上市,(有)ホクスイ精工,ユウゲンガイシャホクスイセイコウ,北上市北工業団地５番９号,,39.335724,141.131378,１階事務所,0197-66-3278,,施設就業時間等に準ずる,,,設置階不明
032069,0000000021,岩手県,北上市,あや歯科医院,アヤシカイイン,北上市村崎野16地割284番地,,39.326447,141.105362,１階レントゲン室,0197-68-4811,,施設就業時間等に準ずる,,,
032069,0000000022,岩手県,北上市,飯豊地区交流センター,イイトヨチクコウリュウセンター,北上市村崎野12地割67番地６,,39.333263,141.09375,１階正面玄関ロビー,0197-68-2001,,施設就業時間等に準ずる,,,
032069,0000000023,岩手県,北上市,天照御神社社務所（伊勢神社）,アマテラスオジンジャシャムショ（イセジンジャ）,北上市村崎野24地割79番地３,,39.328304,141.123138,１階社務所,0197-66-2244,,施設就業時間等に準ずる,,,
032069,0000000024,岩手県,北上市,カメイ株式会社花北ガスターミナル,カメイカブシキガイシャハナキタガスターミナル,北上市村崎野19地割127番地２,,39.337276,141.10704,２階事務所,0197-68-3117,,施設就業時間等に準ずる,,,
032069,0000000025,岩手県,北上市,北上信用金庫むらさきの支店,キタカミシンヨウキンコムラサキノシテン,北上市村崎野15地割268番地４,,39.322781,141.109955,１階ロビー,0197-66-3133,,施設就業時間等に準ずる,,,
032069,0000000026,岩手県,北上市,県立黒沢尻工業高校,ケンリツクロサワジリコウギョウコウコウ,北上市村崎野24地割19番地,,39.328869,141.126007,１階保健室前廊下,0197-66-4115,,施設就業時間等に準ずる,,,
032069,0000000027,岩手県,北上市,佐々木歯科医院,ササキシカイイン,北上市村崎野15地割537番地５,,39.321671,141.113281,１階診療室,0197-66-4184,,施設就業時間等に準ずる,,,
032069,0000000028,岩手県,北上市,㈱システムベース,カブシキガイシャシステムベース,北上市村崎野19地割116番地４,,39.33643,141.108078,１階ロビー,0197-71-1111,,施設就業時間等に準ずる,,,
032069,0000000029,岩手県,北上市,東北精密株式会社,トウホクセイミツカブシキガイシャ,北上市村崎野22地割83番地13,,39.336262,141.115814,"１階第３工場検査室
１階第２工場玄関",0197-71-1632,,施設就業時間等に準ずる,,,
032069,0000000030,岩手県,北上市,東北ポール㈱,トウホクポールカブシキガイシャ,北上市村崎野16地割120番地,,39.326031,141.119156,１階事務所,0197-66-2316,,施設就業時間等に準ずる,,,
032069,0000000031,岩手県,北上市,特別養護老人ホームいいとよ,トクベツヨウゴロウジンホームイイトヨ,北上市村崎野12地割74番地28,,39.33242,141.09729,１階ホール,0197-71-1377,,施設就業時間等に準ずる,,,
032069,0000000032,岩手県,北上市,むらさきの歯科医院,ムラサキノシカイイン,北上市村崎野16地割166番地３,,39.324944,141.113327,１階診療室,0197-71-3418,,施設就業時間等に準ずる,,,
032069,0000000033,岩手県,北上市,（株）村崎野タクシー,カブシキガイシャムラサキノタクシー,北上市村崎野15地割314番地６,,39.323524,141.121094,１階事務所,0197-68-3087,,施設就業時間等に準ずる,,,
032069,0000000034,岩手県,北上市,飯豊小学校,イイトヨショウガッコウ,北上市村崎野11地割101番地,,39.341705,141.095596,"２階職員室
１階体育館入口",0197-68-2510,,施設就業時間等に準ずる,,,
032069,0000000035,岩手県,北上市,飯豊中学校,イイトヨチュウガッコウ,北上市村崎野11地割200番地,,39.338936,141.098862,"１階職員室前廊下
１階体育館入口",0197-68-2714,,施設就業時間等に準ずる,,,
032069,0000000036,岩手県,北上市,いいとよ保育園,イイトヨホイクエン,北上市村崎野12地割74番地１,,39.33242,141.09729,１階玄関,0197-72-7401,,施設就業時間等に準ずる,,,
032069,0000000037,岩手県,北上市,県立中部病院,ケンリツチュウブビョウイン,北上市村崎野17地割10番地,,39.329899,141.104996,"１階緩和ケア病棟スタッフステーション内
１階放射線科待合
１階外来C受付前通路
１階Yショップ売店掲示板付近通路
２階２病棟スタッフステーション前通路
３階３西スタッフステーション前通路
４階４西スタッフステーション前通路
５階５東スタッフステーション前通路",0197-71-1511,,施設就業時間等に準ずる,,,
032069,0000000038,岩手県,北上市,（株）グリーンシステム北上開発センター,カブシキガイシャグリーンシステムキタカミカイハツセンター,北上市村崎野14地割194番地8,,39.316601,141.11972,２階事務室,71-3477,,施設就業時間等に準ずる,,,
032069,0000000039,岩手県,北上市,（株）ケディカ北上工場,カブシキガイシャケディカキタカミコウジョウ,北上市村崎野23地割30番地14,,39.332184,141.118896,１階工場管理室,68-2577,,施設就業時間等に準ずる,,,
032069,0000000040,岩手県,北上市,タイヤ館北上,タイヤカンキタカミ,北上市村崎野14地割466番地1,,39.316944,141.110519,１階店内,0197-66-3333,,施設就業時間等に準ずる,,,
032069,0000000041,岩手県,北上市,（株）ツガワ北上工場,カブシキガイシャツガワキタカミコウジョウ,北上市村崎野21地割26番地3,,39.340191,141.117615,１階従業員出入口付近廊下,0197-68-3133,,施設就業時間等に準ずる,,,
032069,0000000042,岩手県,北上市,医療法人社団　花北病院,イリョウホウジンシャダン　ハナキタビョウイン,北上市村崎野16地割89番地1,,39.325264,141.120773,"１階外来診察室内
２階ナースステーション
３階ナースステーション",0197-68-2311,,施設就業時間等に準ずる,,,
032069,0000000043,岩手県,北上市,パンチ工業㈱北上工場,パンチコウギョウカブシキガイシャキタカミコウジョウ,北上市村崎野21地割26番地17,,39.340191,141.117615,"第１工場Ｏ棟２階総務課事務室内
第２工場Ｂ棟１階入口付近廊下",0197-68-3087,,施設就業時間等に準ずる,,,
032069,0000000044,岩手県,北上市,（株）ユアテック北上営業所,カブシキガイシャユアテックキタカミエイギョウショ,北上市村崎野18地割76番地1,,39.331917,141.108459,１階営業所内,0197-66-4841,,施設就業時間等に準ずる,,,
032069,0000000045,岩手県,北上市,㈱東北マツダ北上店,カブシキガイシャトウホクマツダキタカミテン,北上市村崎野22地割133番地3,,39.334122,141.111206,１階店内,0197-68-2211,,施設就業時間等に準ずる,,,
032069,0000000046,岩手県,北上市,㈱中村商会,カブシキガイシャナカムラショウカイ,北上市村崎野13地割25番地11,,39.327232,141.098267,１階事務室,0197-68-2300,,施設就業時間等に準ずる,,,
032069,0000000047,岩手県,北上市,ショートステイ　紅音,ショートステイ　アカネ,北上市村崎野14地割432番地10,,39.320541,141.115326,１階事務室,0197-72-6156,,施設就業時間等に準ずる,,,
032069,0000000048,岩手県,北上市,ピー・エス・コンクリート㈱北上工場,ピーエスコンクリートカブシキガイシャキタカミコウジョウ,北上市村崎野14地割426番地,,39.316601,141.11972,１階食堂,0197-66-2021,,施設就業時間等に準ずる,,,使用の際は事務所に声をかけること。
032069,0000000049,岩手県,北上市,奥羽生コンクリート㈱花北工場,オウウナマコンクリートカブシキガイシャハナキタコウジョウ,北上市村崎野22地割161番地,,39.336262,141.115814,１階事務室,0197-68-2231,,施設就業時間等に準ずる,,,
032069,0000000050,岩手県,北上市,㈱岩手黒沢尻ガスセンター,カブシキガイシャイワテクロサワジリガスセンター,北上市村崎野21地割66番地,,39.339729,141.115601,２階事務室,0197-66-7707,,施設就業時間等に準ずる,,,
032069,0000000051,岩手県,北上市,グループホーム　おおきな木,グループホーム　オオキナキ,北上市村崎野20地割64番地３,,39.342857,141.105011,１階廊下,0197-62-3316,,施設就業時間等に準ずる,,,
032069,0000000052,岩手県,北上市,あかつき印刷㈱東北営業所,アカツキインサツカブシキガイシャトウホクエイギョウジョ,北上市藤沢17地割96番地１,,39.310623,141.104309,１階玄関ホール,0197-63-4876,,施設就業時間等に準ずる,,,
032069,0000000053,岩手県,北上市,アルバックテクノ㈱ＣＳセンター,アルバックテクノカブシキガイシャシーエスセンター,北上市流通センター15番35号,,39.315903,141.095612,２階事務室内,0197-68-2665,,施設就業時間等に準ずる,,,
032069,0000000054,岩手県,北上市,伊東歯科医院,イトウシカイイン,北上市常盤台一丁目23番13号,,39.303501,141.118835,１階受付カウンター,0197-61-0246,,施設就業時間等に準ずる,,,
032069,0000000055,岩手県,北上市,北上市アカデミースポーツ施設,キタカミシアカデミースポーツシセツ,北上市藤沢22地割37番10号,,39.305435,141.119507,１階入口付近,0197-64-5905,,施設就業時間等に準ずる,,,
032069,0000000056,岩手県,北上市,北上市総合福祉センター,キタカミシソウゴウフクシセンター,北上市常盤台二丁目１番63号,,39.300137,141.117279,１階事務室受付カウンター,0197-64-1212,,施設就業時間等に準ずる,,,
032069,0000000057,岩手県,北上市,黒沢尻北高校,クロサワジリキタコウコウ,北上市常盤台一丁目１番69号,,39.29726,141.121811,１階職員玄関、グラウンド,0197-63-2181,,施設就業時間等に準ずる,,,
032069,0000000058,岩手県,北上市,黒沢尻北小学校,クロサワジリキタショウガッコウ,北上市常盤台一丁目22番33号,,39.30418,141.117691,"１階保健室
１階体育館入口",0197-65-3313,,施設就業時間等に準ずる,,,
032069,0000000059,岩手県,北上市,黒沢尻北地区交流センター,クロサワジリキタチクコウリュウセンター,北上市常盤台一丁目30番20号,,39.304455,141.120193,１階玄関付近,0197-65-1941,,施設就業時間等に準ずる,,,
032069,0000000060,岩手県,北上市,黒沢尻幼稚園,クロサワジリヨウチエン,北上市常盤台一丁目７番66号,,39.300995,141.119202,１階職員室,0197-63-3504,,施設就業時間等に準ずる,,,
032069,0000000061,岩手県,北上市,ケアハウス常盤台,ケアハウストキワダイ,北上市常盤台四丁目７番28号,,39.306919,141.11058,１階玄関ロビー,0197-61-3260,,施設就業時間等に準ずる,,,
032069,0000000062,岩手県,北上市,ケアハウス常心の里,ケアハウスジョウシンノサト,北上市常盤台四丁目７番32号,,39.307026,141.110153,１階玄関,0197-87-9088,,施設就業時間等に準ずる,,,
032069,0000000063,岩手県,北上市,つつみが丘歯科医院,ツツミガオカシカイイン,北上市堤ヶ丘一丁目６番11号,,39.307056,141.115112,１階処置室,0197-63-3646,,施設就業時間等に準ずる,,,
032069,0000000064,岩手県,北上市,東北ミサワホーム(株)盛岡支店北上店,トウホクミサワホームカブシキガイシャモリオカシテンキタカミテン,北上市常盤台一丁目21番5号,,39.303326,141.116379,１階事務室,0197-64-3211,,施設就業時間等に準ずる,,,
032069,0000000065,岩手県,北上市,花巻農業協同組合北上統括支店,ハナマキノウギョウキョウドウクミアイキタカミトウカツシテン,北上市流通センター19番33号,,39.317795,141.098618,１階金融課事務室,0197-71-1300,,施設就業時間等に準ずる,,,
032069,0000000066,岩手県,北上市,パチンコひまわり北上店,パチンコヒマワリキタカミテン,北上市堤ヶ丘一丁目７番７号,,39.307961,141.114822,１階カウンター,0197-61-5750,,施設就業時間等に準ずる,,,
032069,0000000067,岩手県,北上市,丸片機水工業株式会社,マルカタキスイコウギョウカブシキガイシャ,北上市常盤台四丁目９番21号,,39.309608,141.111526,,0197-63-7774,,施設就業時間等に準ずる,,,営業車２台に積載
032069,0000000068,岩手県,北上市,ウインズ北上ライト館,ウインズキタカミライトカン,北上市藤沢20地割123番地,,39.312016,141.111221,１階サービスカウンター付近,0197-64-3810,,施設就業時間等に準ずる,,,
032069,0000000069,岩手県,北上市,わたなべ歯科医院,ワタナベシカイイン,北上市常盤台二丁目13番37号,,39.301384,141.116852,１階診療室,0197-61-2911,,施設就業時間等に準ずる,,,
032069,0000000070,岩手県,北上市,(株)シチズンマシナリー北上事業所,カブシキガイシャシチズンマシナリーキタカミジギョウショ,北上市流通センター15番１号,,39.316166,141.091827,１階第１事務室,0197-68-2500,,施設就業時間等に準ずる,,,
032069,0000000071,岩手県,北上市,北萩寮　,ホクシュウリョウ,北上市町分２地割62番地１,,39.306923,141.107361,１階玄関,0197-63-7278,,施設就業時間等に準ずる,,,
032069,0000000072,岩手県,北上市,北良㈱,ホクリョウカブシキガイシャ,北上市堤ケ丘一丁目９番32号,,39.309494,141.115372,１階業者入口,0197-65-0155,,施設就業時間等に準ずる,,,
032069,0000000073,岩手県,北上市,藤沢広場,フジサワヒロバ,北上市流通センター１番16号,,39.316338,141.096405,１階管理棟,0197-66-6651,,施設就業時間等に準ずる,,,
032069,0000000074,岩手県,北上市,サンレック北上,サンレックきたかみ,北上市常盤台二丁目１番33号,,39.299919,141.115738,１階事務室,0197-64-5500,,施設就業時間等に準ずる,,,
032069,0000000075,岩手県,北上市,ヤマト㈱岩手主管支店,ヤマトカブシキガイシャイワテシュカンシテン,北上市流通センター17番3号,,39.315468,141.097763,１階入口付近,0197-68-3821,,施設就業時間等に準ずる,,,
032069,0000000076,岩手県,北上市,ヤマト㈱岩手主管支店　第２ベース,ヤマトカブシキガイシャイワテシュカンシテン　ダイニベース,北上市流通センター9番31号,,39.315456,141.099396,１階入口付近,0197-68-3821,,施設就業時間等に準ずる,,,
032069,0000000077,岩手県,北上市,㈱アジテック,カブシキガイシャアジテック,北上市流通センター19番70号,,39.319527,141.100891,１階事務所,0197-81-4500,,施設就業時間等に準ずる,,,
032069,0000000078,岩手県,北上市,日本通運㈱北上支店,ニホンツウウンカブシキガイシャキタカミシテン,北上市流通センター13番10号,,39.314381,141.094162,１階事務所,0197-68-2112,,施設就業時間等に準ずる,,,
032069,0000000079,岩手県,北上市,ホーマック北上藤沢店,ホーマックキタカミフジサワテン,北上市藤沢20地割36番地1,,39.312016,141.111221,１階サービスカウンター,0197-61-4600,,施設就業時間等に準ずる,,,
032069,0000000080,岩手県,北上市,㈱篠崎運送倉庫岩手支店,カブシキガイシャシノザキウンソウソウコイワテシテン,北上市流通センター１番27号,,39.313061,141.098236,１階事務所,0197-72-7951,,施設就業時間等に準ずる,,,
032069,0000000081,岩手県,北上市,三和シャッター工業㈱北上営業所,サンワシャッターコウギョウカブシキガイシャキタカミエイギョウショ,北上市流通センター20番19号,,39.317924,141.097412,１階玄関,0197-68-4570,,施設就業時間等に準ずる,,,
032069,0000000082,岩手県,北上市,ハートパルきたかみ,ハートパルキタカミ,北上市藤沢21地割12番地11,,39.31147,141.118149,１階体育館入口,0197-63-2251,,施設就業時間等に準ずる,,,
032069,0000000083,岩手県,北上市,北日本重機(有),キタニホンジュウキユウゲンガイシャ,北上市流通センター24番24号,,39.319794,141.095306,１階事務所,0197-72-6001,,施設就業時間等に準ずる,,,
032069,0000000084,岩手県,北上市,ひだまり北上にこっと,ヒダマリキタカミニコット,北上市町分２地割384番地５,,39.301632,141.104248,１階玄関,0197-72-5781,,施設就業時間等に準ずる,,,
032069,0000000085,岩手県,北上市,岩手銀行北上支店,イワテギンコウキタカミシテン,北上市本通り二丁目４番９号,,39.289593,141.118362,１階カウンター,0197-63-3111,,施設就業時間等に準ずる,,,
032069,0000000086,岩手県,北上市,小豆嶋胃腸科内科クリニック,ショウズシマイチョウカナイカクリニック,北上市本通り四丁目13番６号,,39.294941,141.120346,１階処置室,0197-65-6006,,施設就業時間等に準ずる,,,
032069,0000000087,岩手県,北上市,高橋歯科医院,タカハシシカイイン,北上市本通り一丁目８番34号,,39.287151,141.115341,１階診療室,0197-63-3431,,施設就業時間等に準ずる,,,
032069,0000000088,岩手県,北上市,ツインモールプラザ東館（イオンシネマ）,ツインモールプラザヒガシカン（イオンシネマ）,北上市本通り二丁目２番１号,,39.289082,141.115906,５階ロビー,0197-61-5511,,施設就業時間等に準ずる,,,
032069,0000000089,岩手県,北上市,東北銀行北上支店,トウホクギンコウキタカミシテン,北上市本通り一丁目５番12号,,39.286491,141.113907,１階ロビー,0197-63-3321,,施設就業時間等に準ずる,,,
032069,0000000090,岩手県,北上市,とも歯科クリニック,トモシカクリニック,北上市本通り一丁目８番17号,,39.287937,141.114929,１階診療室,0197-64-1601,,施設就業時間等に準ずる,,,
032069,0000000091,岩手県,北上市,福田歯科医院,フクダシカイイン,北上市本通り三丁目９番10号,,39.293255,141.120087,１階診療室,0197-64-3220,,施設就業時間等に準ずる,,,
032069,0000000092,岩手県,北上市,芳野内科医院,ヨシノナイカイイン,北上市本通り一丁目３番22号,,39.28598,141.114304,１階処置室,0197-65-1811,,施設就業時間等に準ずる,,,
032069,0000000093,岩手県,北上市,北上自動車学校,キタカミジドウシャガッコウ,北上市さくら通り四丁目３番５号,,39.29871,141.111176,１階待合室,0197-63-4562,,施設就業時間等に準ずる,,,
032069,0000000094,岩手県,北上市,北上市文化交流センターさくらホール,キタカミシブンカコウリュウセンターサクラホール,北上市さくら通り二丁目１番１号,,39.297012,141.111633,１階サービスセンター前,0197-61-3300,,施設就業時間等に準ずる,,,
032069,0000000095,岩手県,北上市,北上地区消防組合消防本部,キタカミチクショウボウクミアイショウボウホンブ,北上市柳原町二丁目３番６号,,39.292633,141.109161,２階事務室,0197-64-1122,,施設就業時間等に準ずる,,,
032069,0000000096,岩手県,北上市,ささもり耳鼻咽喉科医院,ササモリジビインコウカイイン,北上市柳原町三丁目11番16号,,39.295975,141.115021,１階診察室,0197-64-6644,,施設就業時間等に準ずる,,,
032069,0000000097,岩手県,北上市,丸亀製麺北上店,マルガメセイメンキタカミテン,北上市柳原町一丁目２番24号,,39.292389,141.110703,１階出入口,0197-64-3935,,施設就業時間等に準ずる,,,
032069,0000000098,岩手県,北上市,六本木歯科医院,ロッポンギシカイイン,北上市さくら通り一丁目１番23号,,39.295967,141.117111,１階診察室,0197-64-6489,,施設就業時間等に準ずる,,,
032069,0000000099,岩手県,北上市,和賀教育会館,ワガキョウイクカイカン,北上市柳原町三丁目13番10号,,39.294674,141.114487,１階玄関,0197-64-7311,,施設就業時間等に準ずる,,,
032069,0000000100,岩手県,北上市,医心館　北上,イシンカン　キタカミ,北上市さくら通り五丁目14番15号,,39.3027,141.110046,１階玄関,0197-62-3228,,施設就業時間等に準ずる,,,
032069,0000000101,岩手県,北上市,小野寺歯科医院,オノデラシカイイン,北上市本石町一丁目１番３号,,39.28875,141.115005,１階診療室,0197-63-2456,,施設就業時間等に準ずる,,,
032069,0000000102,岩手県,北上市,小原歯科医院,オバラシカイイン,北上市本石町一丁目６番45号,,39.291862,141.113571,１階診療室,0197-64-0595,,施設就業時間等に準ずる,,,
032069,0000000103,岩手県,北上市,黒沢尻西小学校,クロサワジリニシショウガッコウ,北上市本石町一丁目６番71号,,39.290607,141.115646,"１階体育館
１階保健室",0197-63-3266,,施設就業時間等に準ずる,,,
032069,0000000104,岩手県,北上市,千田歯科医院,チダシカイイン,北上市本石町一丁目６番35号,,39.29184,141.112701,１階院長室,0197-63-2014,,施設就業時間等に準ずる,,,
032069,0000000105,岩手県,北上市,中央図書館,チュウオウトショカン,北上市本石町二丁目５番35号,,39.292721,141.113358,２階カウンター,0197-63-3359,,施設就業時間等に準ずる,,,
032069,0000000106,岩手県,北上市,日本現代詩歌文学館,ニホンゲンダイシイカブンガクカン,北上市本石町二丁目５番60号,,39.292927,141.115341,１階事務室,0197-65-1728,,施設就業時間等に準ずる,,,
032069,0000000107,岩手県,北上市,本石町歯科医院,ホンゴクチョウシカイイン,北上市本石町一丁目１番18号,,39.289341,141.1147,１階レントゲン室,0197-64-4100,,施設就業時間等に準ずる,,,
032069,0000000108,岩手県,北上市,黒沢尻体育館,クロサワジリタイイクカン,北上市本石町二丁目５番１号,,39.290951,141.115814,１階体育館,0197-65-0611,,施設就業時間等に準ずる,,,
032069,0000000109,岩手県,北上市,黒沢尻西地区交流センター,クロサワジリニシチクコウリュウセンター,北上市本石町一丁目６番20号,,39.290787,141.112793,１階玄関ホール,0197-64-0931,,施設就業時間等に準ずる,,,
032069,0000000110,岩手県,北上市,ツクイ北上,ツクイキタカミ,北上市本石町一丁目１番41号,,39.289043,141.114868,１階玄関,0197-63-8077,,施設就業時間等に準ずる,,,
032069,0000000111,岩手県,北上市,ひだまり北上中央,ヒダマリキタカミチュウオウ,北上市本石町一丁目２番10号,,39.289654,141.115341,１階事務所,0197-64-0931,,施設就業時間等に準ずる,,,
032069,0000000112,岩手県,北上市,岩手県南広域振興局（北上地区合同庁舎）,イワテケンナンコウイキシンコウキョク（キタカミチクゴウドウチョウシャ）,北上市芳町２番８号　,,39.286808,141.111328,１階中部保健所北上分室,0197-65-2731,,施設就業時間等に準ずる,,,
032069,0000000113,岩手県,北上市,北上市役所,キタカミシヤクショ,北上市芳町１番１号　,,39.286282,141.113571,１階正面玄関入口,0197-64-2111,,施設就業時間等に準ずる,,,
032069,0000000114,岩手県,北上市,都鳥歯科・小児歯科クリニック,トドリシカ・ショウニシカクリニック,北上市大曲町９番26号,,39.286873,141.110397,１階診療室,0197-64-3033,,施設就業時間等に準ずる,,,
032069,0000000115,岩手県,北上市,ハローワーク北上,ハローワークキタカミ,北上市大曲町５番17,,39.286591,141.111603,１階出入口,0197-63-3314,,施設就業時間等に準ずる,,,
032069,0000000116,岩手県,北上市,北上勤労者体育センター,キタカミキンロウシャタイイクセンター,北上市幸町１番30号,,39.284798,141.120712,１階体育館玄関,0197-63-5812,,施設就業時間等に準ずる,,,
032069,0000000117,岩手県,北上市,北上市民柔剣道場,キタカミシミンジュウケンドウジョウ,北上市幸町１番30号,,39.284798,141.120712,１階柔剣道場玄関,0197-63-5812,,施設就業時間等に準ずる,,,
032069,0000000118,岩手県,北上市,かじまち小原歯科医院,カジマチオバラシカイイン,北上市鍛冶町二丁目13番20号,,39.290333,141.106659,１階診療室,0197-63-4058,,施設就業時間等に準ずる,,,
032069,0000000119,岩手県,北上市,北日本銀行北上支店,キタニホンギンコウキタカミシテン,北上市新穀町一丁目1番18号,,39.287418,141.114365,１階ロビー,0197-63-2231,,施設就業時間等に準ずる,,,
032069,0000000120,岩手県,北上市,柴田医院,シバタイイン,北上市新穀町一丁目6番10号,,39.289227,141.112595,１階点滴室,0197-61-5130,,施設就業時間等に準ずる,,,
032069,0000000121,岩手県,北上市,専修大学北上高等学校,センシュウダイガクキタカミコウトウガッコウ,北上市新穀町二丁目４番64号,,39.290226,141.111725,"グラウンド
１階体育館入口
１号館１階トイレ
２号館２階職員室前",0197-63-2341,,施設就業時間等に準ずる,,,
032069,0000000122,岩手県,北上市,専修大学北上福祉教育専門学校,センシュウダイガクキタカミフクシキョウイクセンモンガッコウ,北上市新穀町一丁目３番１号,,39.287621,141.114487,１階職員室入口,0197-61-2131,,施設就業時間等に準ずる,,,
032069,0000000123,岩手県,北上市,コナミスポーツクラブ北上,コナミスポーツクラブキタカミ,北上市新穀町一丁目４番１号,,39.288204,141.114883,７階フロント前,0197-61-4700,,施設就業時間等に準ずる,,,
032069,0000000124,岩手県,北上市,北上市市民交流プラザ,キタカミシシミンコウリュウプラザ,北上市新穀町一丁目４番１号,,39.288204,141.114883,２階事務所,0197-61-5716,,施設就業時間等に準ずる,,,
032069,0000000125,岩手県,北上市,第一環境株式会社北上水道お客様センター,ダイイチカンキョウカブシキガイシャキタカミスイドウオキャクサマセンター,北上市有田町1番19号,,39.292088,141.105179,１階事務所,0197-64-7570,,施設就業時間等に準ずる,,,
032069,0000000126,岩手県,北上市,JSS　北上スイミングスクール,ジェイエスエス　キタカミスイミングスクール,北上市若宮町一丁目２番32号,,39.280731,141.118073,１階コーチ室,0197-63-7008,,施設就業時間等に準ずる,,,
032069,0000000127,岩手県,北上市,安部医院,アベイイン,北上市大通り一丁目11番23号,,39.283188,141.119705,１階診察室,0197-64-2927,,施設就業時間等に準ずる,,,
