全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
032158,1012,岩手県奥州市,奥州市立東水沢中学校,オウシュウシリツヒガシミズサワチュウガッコウ,,032158,,岩手県奥州市水沢佐倉河字瀬ノ上2-5,岩手県,奥州市,水沢佐倉河字瀬ノ上,2-5,,39.140055,141.1667,,,職員玄関,(0197)24-2165,,,,,,,,,,,,,,,,,,,
032158,1013,岩手県奥州市,奥州市立水沢南中学校,オウシュウシリツミズサワミナミチュウガッコウ,,032158,,岩手県奥州市水沢真城字大檀39-1,岩手県,奥州市,水沢真城字大檀,39-1,,39.118609,141.143026,,,1階玄関前/保健室,(0197)24-7406,,,,,,,,,,,,,,,,,,,
032158,1014,岩手県奥州市,奥州市総合体育館,オウシュウシソウゴウタイイクカン,,032158,,岩手県奥州市水沢羽田町うぐいす平72,岩手県,奥州市,水沢羽田町うぐいす平,72,,39.129328,141.195545,,,エントランスホール/事務室,(0197)22-7000,,,,,,,,,,,,,,,,,,,
032158,1015,岩手県奥州市,奥州市ふれあいの丘公園,オウシュウシフレアイノオカコウエン,,032158,,岩手県奥州市水沢羽田町うぐいす平72,岩手県,奥州市,水沢羽田町うぐいす平,72,,39.129328,141.195545,,,管理棟,(0197)22-7000,,,,,,,,,,,,,,,,,,,
032158,1016,岩手県奥州市,水沢体育館,ミズサワタイイクカン,,032158,,岩手県奥州市水沢中上野町1-85,岩手県,奥州市,水沢中上野町,1-85,,39.13566,141.138161,,,事務室(3台),(0197)23-3841,,,,,,,,,,,,,,,,,,,７～８月は1台を大鐘公園市民プールに設置
032158,1017,岩手県奥州市,大鐘公園市民プール,オオガネコウエンシミンプール,,032158,,岩手県奥州市水沢東上野町14-1,岩手県,奥州市,水沢東上野町,14-1,,39.13105,141.142486,,,管理棟事務室,(0197)25-2022,,,,,,,,,,,,,,,,,,,
032158,1018,岩手県奥州市,胆沢川桜づつみ広場,イサワガワサクラヅツミヒロバ,,032158,,岩手県奥州市水沢佐倉河字玉貫地内,岩手県,奥州市,水沢佐倉河字玉貫地内,,,39.184533,141.123502,,,クラブハウス内,(0197)24-2111,,,,,,,,,,,,,,,,,,,
032158,1019,岩手県奥州市,水沢勤労者体育館,ミズサワキンロウシャタイイクカン,,032158,,岩手県奥州市水沢佐倉河字舘下65-8,岩手県,奥州市,水沢佐倉河字舘下,65-8,,39.165017,141.150278,,,入口カウンター,(0197)24-2917,,,,,,,,,,,,,,,,,,,
032158,1020,岩手県奥州市,水沢武道館,ミズサワブドウカン,,032158,,岩手県奥州市水沢秋葉町24-3,岩手県,奥州市,水沢秋葉町,24-3,,39.148198,141.143002,,,事務室,(0197)23-2517,,,,,,,,,,,,,,,,,,,
032158,1021,岩手県奥州市,水沢弓道場,ミズサワキュウドウジョウ,,032158,,岩手県奥州市水沢佐倉河字宝龍田61-6,岩手県,奥州市,水沢佐倉河字宝龍田,61-6,,39.140132,141.163561,,,玄関ロビー,(0197)22-7331,,,,,,,,,,,,,,,,,,,
032158,1023,岩手県奥州市,水沢メイプル市民プラザマッセ,ミズサワメイプルシミンプラザマッセ,,032158,,岩手県奥州市水沢字横町2-1,岩手県,奥州市,水沢字横町,2-1,,39.140785,141.141163,,,市民プラザマッセ（地下１階）,(0197)34-2324,,,,,,,,,,,,,,,,,,,
032158,1025,岩手県奥州市,まちなか交流館,マチナカコウリュウカン,,032158,,岩手県奥州市水沢字横町95,岩手県,奥州市,水沢字横町,95,,39.140926,141.140329,,,イベントスペース,(0197)25-3001,,,,,,,,,,,,,,,,,,,
032158,1026,岩手県奥州市,水沢地区センター,ミズサワチクセンター,,032158,,岩手県奥州市水沢字聖天85-2,岩手県,奥州市,水沢字聖天,85-2,,39.148064,141.132114,,,ロビー,(0197)23-3165,,,,,,,,,,,,,,,,,,,
032158,1027,岩手県奥州市,水沢南地区センター,ミズサワミナミチクセンター,,032158,,岩手県奥州市水沢字大鐘町2-12,岩手県,奥州市,水沢字大鐘町,2-12,,39.128982,141.136913,,,ロビー,(0197)25-7990,,,,,,,,,,,,,,,,,,,
032158,1028,岩手県奥州市,常盤地区センター,トキワチクセンター,,032158,,岩手県奥州市水沢台町2-12,岩手県,奥州市,水沢台町,2-12,,39.132042,141.155354,,,ロビー,(0197)24-4276,,,,,,,,,,,,,,,,,,,
032158,1029,岩手県奥州市,佐倉河地区センター,サクラカワチクセンター,,032158,,岩手県奥州市水沢佐倉河字西沖ノ目4-1,岩手県,奥州市,水沢佐倉河字西沖ノ目,4-1,,39.165765,141.130295,,,玄関,(0197)23-3361,,,,,,,,,,,,,,,,,,,
032158,1030,岩手県奥州市,真城地区センター,シンジョウチクセンター,,032158,,岩手県奥州市水沢真城字柿ノ木下99,岩手県,奥州市,水沢真城字柿ノ木下,99,,39.114427,141.147983,,,ロビー,(0197)26-3920,,,,,,,,,,,,,,,,,,,
032158,1031,岩手県奥州市,姉体地区センター,アネタイチクセンター,,032158,,岩手県奥州市水沢姉体町字宿8-3,岩手県,奥州市,水沢姉体町字宿,8-3,,39.098446,141.177622,,,玄関,(0197)26-2524,,,,,,,,,,,,,,,,,,,
032158,1032,岩手県奥州市,羽田地区センター,ハダチクセンター,,032158,,岩手県奥州市水沢羽田町久保9,岩手県,奥州市,水沢羽田町久保,9,,39.144602,141.182701,,,事務室前,(0197)24-7445,,,,,,,,,,,,,,,,,,,
032158,1033,岩手県奥州市,黒石地区センター,クロイシチクセンター,,032158,,岩手県奥州市水沢黒石町字鶴城9-2,岩手県,奥州市,水沢黒石町字鶴城,9-2,,39.095117,141.194133,,,玄関ロビー,(0197)26-3819,,,,,,,,,,,,,,,,,,,
032158,1034,岩手県奥州市,国民健康保険小児夜間診療所（奥州医師会館内）,コクミンケンコウホケンショウニヤカンシンリョウショ,,032158,,岩手県奥州市水沢字多賀21-1,岩手県,奥州市,水沢字多賀,21-1,,39.151253,141.144829,,,診察室内,(0197)25-2227,,,,,,,,,,,,,,,,,,,
032158,1035,岩手県奥州市,奥州市文化会館,オウシュウシブンカカイカン,,032158,,岩手県奥州市水沢佐倉河字石橋41,岩手県,奥州市,水沢佐倉河字石橋,41,,39.146298,141.153398,,,エントランスホール,(0197)22-6622,,,,,,,,,,,,,,,,,,,
032158,1036,岩手県奥州市,奥州宇宙遊学館,オウシュウシウチュウユウガッカン,,032158,,岩手県奥州市水沢星ガ丘2-12,岩手県,奥州市,水沢星ガ丘,2-12,,39.135118,141.132389,,,事務室,(0197)24-2020,,,,,,,,,,,,,,,,,,,
032158,1037,岩手県奥州市,流通団地交流センター,リュウツウダンチコウリュウセンター,,032158,,岩手県奥州市水沢卸町4-5,岩手県,奥州市,水沢卸町,4-5,,39.181671,141.114791,,,ホール,(0197)25-5872,,,,,,,,,,,,,,,,,,,
032158,1038,岩手県奥州市,水沢図書館,ミズサワトショカン,,032158,,岩手県奥州市水沢佐倉河字石橋51,岩手県,奥州市,水沢佐倉河字石橋,51,,39.145654,141.15314,,,館内入口,(0197)23-3372,,,,,,,,,,,,,,,,,,,
032158,2001,岩手県奥州市,江刺総合支所,エサシソウゴウシショ,,032158,,岩手県奥州市江刺大通り1-8,岩手県,奥州市,江刺大通り,1-8,,39.191475,141.173655,,,東口玄関正面,(0197)35-2111,,,,,,,,,,,,,,,,,,,
032158,2002,岩手県奥州市,奥州市立岩谷堂小学校,オウシュウシリツイワヤドウショウガッコウ,,032158,,岩手県奥州市江刺岩谷堂一本松32,岩手県,奥州市,江刺岩谷堂一本松,32,,39.194654,141.169378,,,職員玄関,(0197)35-1924,,,,,,,,,,,,,,,,,,,
032158,2003,岩手県奥州市,奥州市立江刺愛宕小学校,オウシュウシリツエサシオダキショウガッコウ,,032158,,岩手県奥州市江刺愛宕字西下川原8,岩手県,奥州市,江刺愛宕字西下川原,8,,39.176575,141.150853,,,1階職員室,(0197)35-2061,,,,,,,,,,,,,,,,,,,
032158,2004,岩手県奥州市,奥州市立田原小学校,オウシュウシリツタワラショウガッコウ,,032158,,岩手県奥州市江刺田原字駒場108,岩手県,奥州市,江刺田原字駒場,108,,39.154656,141.210634,,,職員玄関,(0197)35-1928,,,,,,,,,,,,,,,,,,,
032158,2006,岩手県奥州市,奥州市立えさし東小学校,オウシュウシリツエサシヒガシショウガッコウ,,032158,,岩手県奥州市江刺玉里字大松沢108,岩手県,奥州市,江刺玉里字大松沢,108,,39.229038,141.241296,,,1階保健室廊下,(0197)36-2122,,,,,,,,,,,,,,,,,,,
032158,2007,岩手県奥州市,奥州市立稲瀬小学校,オウシュウシリツイナセショウガッコウ,,032158,,岩手県奥州市江刺稲瀬字下台12,岩手県,奥州市,江刺稲瀬字下台,12,,39.216538,141.156753,,,職員玄関,(0197)35-1926,,,,,,,,,,,,,,,,,,,
032158,2014,岩手県奥州市,奥州市立江刺第一中学校,オウシュウシリツエサシダイイチチュウガッコウ,,032158,,岩手県奥州市江刺岩谷堂字小境1,岩手県,奥州市,江刺岩谷堂字小境,1,,39.191619,141.168677,,,来賓・職員玄関/保健室,(0197)35-1917,,,,,,,,,,,,,,,,,,,
032158,2017,岩手県奥州市,江刺中央体育館,エサシチュウオウタイイクカン,,032158,,岩手県奥州市江刺杉ノ町9-1,岩手県,奥州市,江刺杉ノ町,9-1,,39.182542,141.173745,,,玄関ロビー/事務室,(0197)31-2100,,,,,,,,,,,,,,,,,,,
032158,2018,岩手県奥州市,江刺西体育館,エサシニシタイイクカン,,032158,,岩手県奥州市江刺愛宕字宿150,岩手県,奥州市,江刺愛宕字宿,150,,39.178203,141.152738,,,玄関ロビー,(0197)35-5544,,,,,,,,,,,,,,,,,,,
032158,2019,岩手県奥州市,江刺武道館,エサシブドウカン,,032158,,岩手県奥州市江刺岩谷堂一本松167-1,岩手県,奥州市,江刺岩谷堂一本松,167-1,,39.19291,141.170625,,,玄関ロビー,(0197)31-2100,,,,,,,,,,,,,,,,,,,
032158,2021,岩手県奥州市,種山高原野外交流施設,タネヤマコウゲンヤガイコウリュウシセツ,,032158,,岩手県奥州市江刺米里字大畑66-21,岩手県,奥州市,江刺米里字大畑,66-21,,39.194601,141.386351,,,フロント,(0197)38-2368,,,,,,,,,,,,,,,,,,,
032158,2022,岩手県奥州市,歴史公園えさし藤原の郷,レキシコウエンエサシフジワラノサト,,032158,,岩手県奥州市江刺岩谷堂字小名丸86-1,岩手県,奥州市,江刺岩谷堂字小名丸,86-1,,39.195509,141.188707,,,入口脇事務所,(0197)35-7791,,,,,,,,月火水木金土日,9:00,17:00,,無,https://www.fujiwaranosato.com/,,,,,,
032158,2023,岩手県奥州市,江刺総合コミュニティーセンター,エサシソウゴウコミュニティーセンター,,032158,,岩手県奥州市江刺岩谷堂字下惣田290-1,岩手県,奥州市,江刺岩谷堂字下惣田,290-1,,39.181284,141.182055,,,事務室受付,(0197)35-8081,,,,,,,,,,,,,,,,,,,
032158,2025,岩手県奥州市,岩谷堂地区センター,イワヤドウチクセンター,,032158,,岩手県奥州市江刺大通り1-61,岩手県,奥州市,江刺大通り,1-61,,39.192309,141.174913,,,玄関ホール,(0197)35-1201,,,,,,,,,,,,,,,,,,,
032158,2026,岩手県奥州市,江刺愛宕地区センター,エサシオダキチクセンター,,032158,,岩手県奥州市江刺愛宕字宿98-1,岩手県,奥州市,江刺愛宕字宿,98-1,,39.17334,141.152544,,,玄関ホール,(0197)31-2411,,,,,,,,,,,,,,,,,,,
032158,2027,岩手県奥州市,田原地区センター,タワラチクセンター,,032158,,岩手県奥州市江刺田原字深沢166-1,岩手県,奥州市,江刺田原字深沢,166-1,,39.153644,141.221844,,,玄関ホール,(0197)32-2131,,,,,,,,,,,,,,,,,,,
032158,2028,岩手県奥州市,藤里地区センター,フジサトチクセンター,,032158,,岩手県奥州市江刺藤里字上長沢27,岩手県,奥州市,江刺藤里字上長沢,27,,39.182652,141.249316,,,玄関ホール,(0197)39-3127,,,,,,,,,,,,,,,,,,,
032158,2029,岩手県奥州市,伊手地区センター,イデチクセンター,,032158,,岩手県奥州市江刺伊手字西風54,岩手県,奥州市,江刺伊手字西風,54,,39.177824,141.30365,,,玄関ホール,(0197)39-2121,,,,,,,,,,,,,,,,,,,
032158,2030,岩手県奥州市,米里地区センター,ヨネサトチクセンター,,032158,,岩手県奥州市江刺米里字八幡72-1,岩手県,奥州市,江刺米里字八幡,72-1,,39.233734,141.310176,,,事務室,(0197)38-2221,,,,,,,,,,,,,,,,,,,
032158,2031,岩手県奥州市,玉里地区センター,タマサトチクセンター,,032158,,岩手県奥州市江刺玉里字青篠199-3,岩手県,奥州市,江刺玉里字青篠,199-3,,39.228133,141.245647,,,玄関ホール,(0197)36-2131,,,,,,,,,,,,,,,,,,,
032158,2032,岩手県奥州市,梁川地区センター,ヤナガワチクセンター,,032158,,岩手県奥州市江刺梁川字日ノ神90,岩手県,奥州市,江刺梁川字日ノ神,90,,39.282058,141.264489,,,玄関ホール,(0197)37-2320,,,,,,,,,,,,,,,,,,,
032158,2033,岩手県奥州市,広瀬地区センター,ヒロセチクセンター,,032158,,岩手県奥州市江刺広瀬字柿ノ木443-4,岩手県,奥州市,江刺広瀬字柿ノ木,443-4,,39.252577,141.210075,,,玄関ホール,(0197)36-2111,,,,,,,,,,,,,,,,,,,
032158,2034,岩手県奥州市,稲瀬地区センター,イナセチクセンター,,032158,,岩手県奥州市江刺稲瀬字谷地16-1,岩手県,奥州市,江刺稲瀬字谷地,16-1,,39.215481,141.153541,,,玄関ホール,(0197)35-4073,,,,,,,,,,,,,,,,,,,
032158,2035,岩手県奥州市,江刺ふるさと市場,エサシフルサトイチバ,,032158,,岩手県奥州市江刺愛宕字金谷83-2,岩手県,奥州市,江刺愛宕字金谷,83-2,,39.160336,141.18192,,,新館入口,(0197)31-2080,,,,,,,,,,,,,,,,,,,
032158,3001,岩手県奥州市,前沢総合支所,マエサワソウゴウシショ,,032158,,岩手県奥州市前沢字七日町裏71,岩手県,奥州市,前沢字七日町裏,71,,39.051183,141.124121,,,正面玄関風徐室,(0197)56-2111,,,,,,,,,,,,,,,,,,,
032158,3002,岩手県奥州市,奥州市立前沢小学校,オウシュウシリツマエサワショウガッコウ,,032158,,岩手県奥州市前沢字河ノ畑71-1,岩手県,奥州市,前沢字河ノ畑,71-1,,39.062769,141.133854,,,職員玄関,(0197)56-2343,,,,,,,,,,,,,,,,,,,
032158,3003,岩手県奥州市,奥州市立前沢中学校,オウシュウシリツマエサワチュウガッコウ,,032158,,岩手県奥州市前沢字久田31,岩手県,奥州市,前沢字久田,31,,39.058413,141.139072,,,1階保健室前,(0197)56-3005,,,,,,,,,,,,,,,,,,,
032158,3004,岩手県奥州市,前沢B&G海洋センター,マエサワビーアンドジーカイヨウセンター,,032158,,岩手県奥州市前沢字阿部舘27-1,岩手県,奥州市,前沢字阿部舘,27-1,,39.058465,141.141495,,,玄関ロビー/体育館,(0197)56-7290,,,,,,,,,,,,,,,,,,,
032158,3005,岩手県奥州市,前沢グリーンアリーナ,マエサワグリーンアリーナ,,032158,,岩手県奥州市前沢字河ノ畑71,岩手県,奥州市,前沢字河ノ畑,71,,39.061646,141.134251,,,事務室,(0197)56-2901,,,,,,,,,,,,,,,,,,,
032158,3006,岩手県奥州市,奥州市牛の博物館,オウシュウシウシノハクブツカン,,032158,,岩手県奥州市前沢字南陣場103-1,岩手県,奥州市,前沢字南陣場,103-1,,39.026997,141.12398,,,受付,(0197)56-7666,,,,,,,,,,,,,,,,,,,
032158,3007,岩手県奥州市,前沢ふれあいセンター,マエサワフレアイセンター,,032158,,岩手県奥州市前沢字七日町裏104,岩手県,奥州市,前沢字七日町裏,104,,39.051883,141.125262,,,事務室,(0197)56-7100,,,,,,,,,,,,,,,,,,,
032158,3008,岩手県奥州市,前沢スポーツセンター,マエサワスポーツセンター,,032158,,岩手県奥州市前沢字塔ヶ崎7,岩手県,奥州市,前沢字塔ヶ崎,7,,39.040744,141.119945,,,出入口,(0197)56-2947,,,,,,,,,,,,,,,,,,,
032158,3009,岩手県奥州市,前沢温泉保養交流館舞鶴の湯,マエサワオンセンホヨウコウリュウカンマイヅルノユ,,032158,,岩手県奥州市前沢字徳沢1-45,岩手県,奥州市,前沢字徳沢,1-45,,39.030046,141.108646,,,事務室,(0197)56-6048,,,,,,,,,,,,,,,,,,,
032158,3010,岩手県奥州市,前沢地区センター,マエサワチクセンター,,032158,,岩手県奥州市前沢字七日町裏131-1,岩手県,奥州市,前沢字七日町裏,131-1,,39.051955,141.126004,,,事務室窓口内側,(0197)56-6776,,,,,,,,,,,,,,,,,,,
032158,3011,岩手県奥州市,古城地区センター,コジョウチクセンター,,032158,,岩手県奥州市前沢古城字東見寺下290,岩手県,奥州市,前沢古城字東見寺下,290,,39.079278,141.13711,,,玄関ロビー,(0197)56-2935,,,,,,,,,,,,,,,,,,,
032158,3012,岩手県奥州市,白山地区センター,シラヤマチクセンター,,032158,,岩手県奥州市前沢白山字古宿37-3,岩手県,奥州市,前沢白山字古宿,37-3,,39.07073,141.162111,,,事務室,(0197)56-2938,,,,,,,,,,,,,,,,,,,
032158,3013,岩手県奥州市,生母地区センター,セイボチクセンター,,032158,,岩手県奥州市前沢生母字羽場69-1,岩手県,奥州市,前沢生母字羽場,69-1,,39.045299,141.160888,,,事務室窓口外側,(0197)56-2933,,,,,,,,,,,,,,,,,,,
032158,3014,岩手県奥州市,前沢図書館,マエサワトショカン,,032158,,岩手県奥州市前沢字七日町裏71,岩手県,奥州市,前沢字七日町裏,71,,39.051118,141.124649,,,事務室,(0197)56-6781,,,,,,,,,,,,,,,,,,,
032158,4001,岩手県奥州市,胆沢総合支所,イサワソウゴウシショ,,032158,,岩手県奥州市胆沢南都田字加賀谷地270,岩手県,奥州市,胆沢南都田字加賀谷地,270,,39.117088,141.069884,,,市民待合室,(0197)46-2111,,,,,,,,,,,,,,,,,,,
032158,4002,岩手県奥州市,奥州市立胆沢第一小学校,オウシュウシリツイサワダイイチチュウガッコウ,,032158,,岩手県奥州市胆沢小山字道場30,岩手県,奥州市,胆沢小山字道場,30,,39.097123,141.079316,,,職員玄関,(0197)47-0323,,,,,,,,,,,,,,,,,,,
032158,4003,岩手県奥州市,奥州市立南都田小学校,オウシュウシリツナツタショウガッコウ,,032158,,岩手県奥州市胆沢南都田字塚田126,岩手県,奥州市,胆沢南都田字塚田,126,,39.139877,141.088252,,,職員玄関,(0197)46-3130,,,,,,,,,,,,,,,,,,,
032158,4004,岩手県奥州市,奥州市立若柳小学校,オウシュウシリツワカヤナギショウガッコウ,,032158,,岩手県奥州市胆沢若柳字箸塚181,岩手県,奥州市,胆沢若柳字箸塚,181,,39.12998,141.058112,,,児童昇降口前廊下,(0197)46-2708,,,,,,,,,,,,,,,,,,,
032158,4006,岩手県奥州市,奥州市立胆沢中学校,オウシュウシリツイサワチュウガッコウ,,032158,,岩手県奥州市胆沢南都田字蛸の手6-1,岩手県,奥州市,胆沢南都田字蛸の手,6-1,,39.114936,141.069898,,,生徒昇降口,(0197)47-4715,,,,,,,,,,,,,,,,,,,
032158,4007,岩手県奥州市,胆沢総合体育館,イサワソウゴウタイイクカン,,032158,,岩手県奥州市胆沢南都田字小十文字160,岩手県,奥州市,胆沢南都田字小十文字,160,,39.122668,141.068498,,,事務室,(0197)46-3427,,,,,,,,,,,,,,,,,,,
032158,4009,岩手県奥州市,胆沢高齢者総合福祉施設ぬくもりの家,イサワコウレイシャソウゴウフクシシセツヌクモリノイエ,,032158,,岩手県奥州市胆沢南都田字大持30,岩手県,奥州市,胆沢南都田字大持,30,,39.129351,141.069356,,,事務室前,(0197)46-5100,,,,,,,,,,,,,,,,,,,
032158,4010,岩手県奥州市,健康増進プラザ悠悠館,ケンコウゾウシンプラザユウユウカン,,032158,,岩手県奥州市胆沢南都田字大持50,岩手県,奥州市,胆沢南都田字大持,50,,39.128789,141.068615,,,正面玄関,(0197)46-2977,,,,,,,,,,,,,,,,,,,
032158,4011,岩手県奥州市,国民健康保険まごころ病院,コクミンケンコウホケンマゴコロビョウイン,,032158,,岩手県奥州市胆沢南都田字大持40,岩手県,奥州市,胆沢南都田字大持,40,,39.129042,141.067817,,,2階病棟,(0197)46-2121,,,,,,,,,,,,,,,,,,,
032158,4012,岩手県奥州市,胆沢文化創造センター,イサワブンカソウゾウセンター,,032158,,岩手県奥州市胆沢南都田字加賀谷地1-1,岩手県,奥州市,胆沢南都田字加賀谷地,1-1,,39.119502,141.069554,,,風除室,(0197)46-2133,,,,,,,,,,,,,,,,,,,
032158,4013,岩手県奥州市,小山地区センター,オヤマチクセンター,,032158,,岩手県奥州市胆沢小山字道場40-1,岩手県,奥州市,胆沢小山字道場,40-1,,39.096899,141.082187,,,事務室,(0197)47-0134,,,,,,,,,,,,,,,,,,,
032158,4014,岩手県奥州市,南都田地区センター,ナツタチクセンター,,032158,,岩手県奥州市胆沢南都田字塚田126-8,岩手県,奥州市,胆沢南都田字塚田,126-8,,39.139152,141.08691,,,事務室,(0197)46-2213,,,,,,,,,,,,,,,,,,,
032158,4015,岩手県奥州市,若柳地区センター,ワカヤナギチクセンター,,032158,,岩手県奥州市胆沢若柳字相馬檀144,岩手県,奥州市,胆沢若柳字相馬檀,144,,39.131639,141.063055,,,事務室,(0197)46-3148,,,,,,,,,,,,,,,,,,,
032158,4016,岩手県奥州市,胆沢愛宕地区センター,イサワアタゴチクセンター,,032158,,岩手県奥州市胆沢若柳字愛宕155,岩手県,奥州市,胆沢若柳字愛宕,155,,39.126456,140.986089,,,事務室,(0197)49-2201,,,,,,,,,,,,,,,,,,,
032158,4017,岩手県奥州市,小山東幼稚園,オヤマヒガシヨウチエン,,032158,,岩手県奥州市胆沢小山字後大畑116,岩手県,奥州市,胆沢小山字後大畑,116,,39.098657,141.089769,,,正面玄関前,(0197)47-0327,,,,,,,,,,,,,,,,,,,
032158,5001,岩手県奥州市,衣川総合支所,コロモカワソウゴウシショ,,032158,,岩手県奥州市衣川古戸64-4,岩手県,奥州市,衣川古戸,64-4,,39.039086,141.063387,,,玄関ロビー,(0197)52-3111,,,,,,,,,,,,,,,,,,,
032158,5002,岩手県奥州市,衣川保健福祉センター,コロモカワホケンフクシセンター,,032158,,岩手県奥州市衣川古戸53-1,岩手県,奥州市,衣川古戸,53-1,,39.038827,141.064407,,,玄関ロビー,(0197)52-3800,,,,,,,,,,,,,,,,,,,
032158,5003,岩手県奥州市,奥州市立衣川小学校,オウシュウシリツコロモカワショウガッコウ,,032158,,岩手県奥州市衣川古戸414-1,岩手県,奥州市,衣川古戸,414-1,,39.041555,141.067511,,,職員玄関,(0197)52-3202,,,,,,,,,,,,,,,,,,,
032158,5004,岩手県奥州市,奥州市立衣里小学校,オウシュウシリツコロモサトショウガッコウ,,032158,,岩手県奥州市衣川堰下7-2,岩手県,奥州市,衣川堰下,7-2,,39.020097,141.094933,,,体育館校舎側側面,(0197)52-3572,,,,,,,,,,,,,,,,,,,
032158,5005,岩手県奥州市,奥州市立衣川中学校,オウシュウシリツコロモカワチュウガッコウ,,032158,,岩手県奥州市衣川古戸403-1,岩手県,奥州市,衣川古戸,403-1,,39.0422,141.06689,,,職員玄関,(0197)52-3201,,,,,,,,,,,,,,,,,,,
032158,5006,岩手県奥州市,衣川社会体育館,コロモカワシャカイタイイクカン,,032158,,岩手県奥州市衣川古戸420,岩手県,奥州市,衣川古戸,420,,39.039943,141.068489,,,玄関ロビー,(0197)51-3111,,,,,,,,,,,,,,,,,,,
032158,5007,岩手県奥州市,衣川セミナーハウス,コロモカワセミナーハウス,,032158,,岩手県奥州市衣川古戸29-2,岩手県,奥州市,衣川古戸,29-2,,39.039436,141.065436,,,玄関ロビー,(0197)52-3900,,,,,,,,,,,,,,,,,,,
032158,5009,岩手県奥州市,奥州市国民健康保険衣川診療所,オウシュウシコクミンケンコウホケンコロモカワシンリョウショ,,032158,,岩手県奥州市衣川古戸48-3,岩手県,奥州市,衣川古戸,48-3,,39.03876,141.064994,,,待合室,(0197)52-3500,,,,,,,,,,,,,,,,,,,
