都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
033022,0000000011,岩手県,葛巻町,消防団第５分団,ショウボウダイダイゴブンダン,岩手県岩手郡葛巻町葛巻28-20,,39.981438,141.410077,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000012,岩手県,葛巻町,消防団第６分団,ショウボウダンダイロクブンダン,岩手県岩手郡葛巻町葛巻54-219-2,,40.079018,141.413376,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000013,岩手県,葛巻町,消防団第７分団,ショウボウダンダイナナブンダン,岩手県岩手郡葛巻町葛巻50-28-1,,40.061653,141.404702,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000014,岩手県,葛巻町,消防団第８分団,ショウボウダンダイハチブンダン,岩手県岩手郡葛巻町葛巻60-7-1,,40.083143,141.440767,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000015,岩手県,葛巻町,消防団第９分団,ショウボウダンダイキュウブンダン,岩手県岩手郡葛巻町葛巻38-116,,39.981114,141.375638,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000016,岩手県,葛巻町,消防団第10分団,ショウボウダンダイジュウブンダン,岩手県岩手郡葛巻町葛巻43-33-8,,40.038789,141.305192,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000017,岩手県,葛巻町,消防団第11分団,ショウボウダンダイジュウイチブンダン,岩手県岩手郡葛巻町江刈33-65-1,,39.939679,141.527612,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000018,岩手県,葛巻町,消防団第12分団,ショウボウダンダイジュウニブンダン,岩手県岩手郡葛巻町江刈25-13-1,,39.971466,141.506369,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000019,岩手県,葛巻町,消防団第13分団,ショウボウダンダイジュウサンブンダン,岩手県岩手郡葛巻町江刈19-385-5,,39.989009,141.495978,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000020,岩手県,葛巻町,消防団第14分団,ショウボウダンダイジュウヨンブンダン,岩手県岩手郡葛巻町江刈15-14-1,,40.003705,141.482475,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000021,岩手県,葛巻町,消防団第15分団,ショウボウダンダイジュウゴブンダン,岩手県岩手郡葛巻町江刈8-76-14,,40.022642,141.459655,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000022,岩手県,葛巻町,四日市コミュニティセンター（消防団第16分団）,ヨッカイチコミュニティセンター（ショウボウダンダイジュウロクブンダン）,岩手県岩手郡葛巻町江刈7-4-4,,40.031667,141.460025,1階休憩所,0195-66-2951,,,,※消防団活動時,,,,無,,
033022,0000000023,岩手県,葛巻町,消防団第17分団,ショウボウダンダイジュウナナブンダン,岩手県岩手郡葛巻町田部字触沢3-21,,40.092455,141.397288,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000024,岩手県,葛巻町,消防団第18分団,ショウボウダンダイジュウハチブンダン,岩手県岩手郡葛巻町田部字市部内66-1,,40.122952,141.374114,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000025,岩手県,葛巻町,葛巻小学校,クズマキショウガッコウ,岩手県岩手郡葛巻町葛巻12-37-1,,40.040466,141.439641,体育館,0195-66-2714,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000026,岩手県,葛巻町,小屋瀬小学校,コヤセショウガッコウ,岩手県岩手郡葛巻町葛巻28-22-5,,39.982295,141.409278,体育館,0195-66-0003,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000027,岩手県,葛巻町,旧吉ヶ沢小学校,キュウヨシガサワショウガッコウ,岩手県岩手郡葛巻町葛巻43-33-1,,40.039491,141.305965,体育館,,,,,※自治会活動時,,,,無,,
033022,0000000028,岩手県,葛巻町,江刈小学校,エカリショウガッコウ,岩手県岩手郡葛巻町江刈10-206-12,,40.013784,141.467262,体育館,0195-66-3475,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000029,岩手県,葛巻町,五日市小学校,イツカイチショウガッコウ,岩手県岩手郡葛巻町江刈25-54-6,,39.975792,141.505709,体育館,0195-68-2130,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000030,岩手県,葛巻町,葛巻中学校,クズマキチュウガッコウ,岩手県岩手郡葛巻町葛巻20-91,,40.043723,141.431036,体育館,0195-66-2614,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000031,岩手県,葛巻町,小屋瀬中学校,コヤセチュウガッコウ,岩手県岩手郡葛巻町葛巻28-76-70,,39.988915,141.397803,体育館,0195-66-0631,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000032,岩手県,葛巻町,江刈中学校,エカリチュウガッコウ,岩手県岩手郡葛巻町江刈16-54-2,,40.004024,141.487083,体育館,0195-68-2132,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000033,岩手県,葛巻町,葛巻高等学校,クズマキコウトウガッコウ,岩手県岩手郡葛巻町葛巻5-178-1,,40.045842,141.459317,体育館,0195-66-2624,,,,月火水木金,08:00,17:00,土日祝日及び12/29から12/3まで利用不可。,無,,
033022,0000000034,岩手県,葛巻町,養護老人ホーム葛葉荘,ヨウゴロウジンホームクズハソウ,岩手県岩手郡葛巻町葛巻,,40.038544,141.430725,1階廊下,0195-66-2141,,,,月火水木金土日,08:30,22:00,,無,,
033022,0000000035,岩手県,葛巻町,特別養護老人ホーム高砂荘,トクベツヨウゴロウジンホームタカサゴソウ,岩手県岩手郡葛巻町葛巻7-104-2,,40.039826,141.454232,1階廊下,0195-66-2100,,,,月火水木金土日,08:30,22:00,,無,,
033022,0000000036,岩手県,葛巻町,介護老人保健施設アットホームくずまき,カイゴロウジンホケンシセツアットホームクズマキ,岩手県岩手郡葛巻町江刈5-155-7,,40.033587,141.462257,1階廊下,0195-66-1117,,,,月火水木金土日,08:30,22:00,,無,,
033022,0000000037,岩手県,葛巻町,くずまき交流館プラトー,クズマキコウリュウカンプラトー,岩手県岩手郡葛巻町葛巻40-57-176,,40.002479,141.332545,1階廊下,0195-66-0555,,,,月火水木金土日,08:30,22:00,,無,,
033022,0000000038,岩手県,葛巻町,森のこだま館,モリノコダマカン,岩手県岩手郡葛巻町江刈1-95-55,,40.076978,141.511089,1階廊下,0195-66-2320,,,,月火水木金土日,08:30,22:00,,無,,
033022,0000000039,岩手県,葛巻町,ふれあい宿舎グリーンテージ,フレアイシュクシャグリーンテージ,岩手県岩手郡葛巻町葛巻5-170-2,,40.050396,141.462407,1階廊下,0195-66-3000,,,,月火水木金土日,08:30,22:00,,無,,
033022,0000000040,岩手県,葛巻町,ふるさと体験学習館（モウモウ館）,フルサトタイケンガクシュウカン（モウモウカン）,岩手県岩手郡葛巻町葛巻9-35-7,,40.036776,141.447322,1階廊下,0195-66-2444,,,,月火水木金土日,08:30,17:00,,無,,
033022,0000000041,岩手県,葛巻町,高梨乳業株式会社岩手工場,タカナシニュウギョウカブシキガイシャイワテコウジョウ,岩手県岩手郡葛巻町江刈14-218-1,,39.999154,141.488425,2階事務室,0195-68-2341,,,,月火水木金,08:00,17:00,,無,,
033022,0000000042,岩手県,葛巻町,守山乳業株式会社葛巻工場,モリヤマニュウギョウカブシキガイシャクズマキコウジョウ,岩手県岩手郡葛巻町葛巻8-46,,40.037195,141.445901,1階事務室,0195-66-2511,,,,月火水木金,08:00,17:00,,無,,
033022,0000000043,岩手県,葛巻町,盛岡中央消防署葛巻分署,モリオカチュウオウショウボウショクズマキブンショ,岩手県岩手郡葛巻町葛巻8-5-1,,40.036735,141.450139,1階事務室,0195-66-2709,,,,月火水木金土日,00:00,23:59,,有,,
033022,0000000044,岩手県,葛巻町,西島医院,ニシジマイイン,岩手県岩手郡葛巻町葛巻13-45-3,,40.041626,141.441008,1階事務室,0195-66-2210,,,,月火水木金,08:00,17:00,,有,,
033022,0000000045,岩手県,葛巻町,遠藤歯科医院,エンドウシカイイン,岩手県岩手郡葛巻町葛巻13-51,,40.041052,141.441625,1階事務室,0195-66-2958,,,,月火水木金,08:00,17:00,,無,,
033022,0000000046,岩手県,葛巻町,髙橋歯科医院,タカハシシカイイン,岩手県岩手郡葛巻町葛巻12-24-6,,40.040423,141.440971,1階事務室,0195-66-3030,,,,月火水木金,08:00,17:00,,無,,
033022,0000000047,岩手県,葛巻町,新町自治会館,シンマチジチカイカン,岩手県岩手郡葛巻町葛巻12-37-1,,40.039622,141.440928,1階廊下,0195-66-3037,,,,※自治会活動時,,,,無,,
